Congestion charges,Employment growth,Fuel costs,Population,Road capacity,Telework,Transit service,VMT tax,Dvmt,CO2e,VehicleTrips,WalkTrips,BikeTrips,TransitTrips
0.559872695,1.210436629,5.163890602,10440193.17,1.275886499,0.408040179,1.072919791,1.095625161,59004707.32,13828901.06,7006939.822,4383138.489,332810.8462,2599401.78
0.344898602,1.298657788,4.155295627,9054749.169,1.262814809,0.26579204,1.273429905,1.031957045,55324515.2,12962985.13,6442727.885,3749367.972,274337.1672,2198651.649
0.316446029,1.014591814,5.67069224,10311086.74,1.383515619,0.29010531,1.185491383,1.077691927,59840774.21,14010156.88,7069741.872,4309097.893,323208.4207,2545845.214
0.520205836,1.229334511,7.152303013,9793154.842,1.052396369,0.192755703,1.455605938,0.672158412,74014153.11,17257761.4,8749948.505,3888269.961,278532.7403,2083443.197
0.917736126,1.381177661,3.860790135,10323883.78,1.188362235,0.179410467,1.250884072,0.8239926,70457791.93,16514875.92,8362881.968,4174659.308,308586.4827,2301010.569
0.607480078,1.217353743,4.756036158,9212276.601,1.27709131,0.16006747,1.278669187,1.596333201,39198973.54,9241633.077,4587062.539,4117534.192,308566.2069,2829129.436
0.836943346,1.385629668,5.361671101,10047088.02,1.15579046,0.302698328,1.281573269,0.735629607,72539223.32,16974106.87,8581610.494,4019018.473,294317.6305,2167666.42
0.351010898,1.248415196,5.090480753,12304602.21,1.283722561,0.161735933,1.148032924,1.682375894,49732462.46,11679518.95,6046269.4,5547264.86,433064.5407,3801555.414
0.188992441,1.26946739,4.794927566,10390975.59,1.067490152,0.149467425,1.1789817,1.496869482,46810370.75,10965921.11,5599551.708,4579262.508,349273.8379,3023031.112
0.223260101,1.22252543,2.642058565,10622129.91,1.377444344,0.213539793,1.397495077,0.616247888,94985923.73,22123861.36,11233568.41,4064880.757,292521.461,1978219.157
0.298575615,1.226111809,5.699779297,12060094.07,1.288327755,0.063344951,1.353278761,0.839381331,82415186.36,19203330.58,9949451.975,4880280.404,362883.9437,2683135.502
0.340892248,1.260914408,6.504917345,11774011.83,1.336723453,0.122401235,1.217088054,1.41638742,54326834.89,12737981.91,6552225.226,5163825.146,396353.6923,3362386.446
0.373860714,1.546437265,6.790739162,10858381.23,1.141321828,0.341186214,1.427287633,0.806258457,74458475.1,17353534.84,8903765.621,4395020.359,321474.2829,2440069.996
0.5462709,1.146005983,4.372407379,11270328.72,1.265103326,0.248041401,1.243143572,1.402658731,52832888.44,12408459.73,6349464.794,4926714.491,375783.0543,3194528.938
0.6730882,1.290459176,3.652655551,11812056,1.084490192,0.317668666,1.07955345,1.244416523,59575194.93,13977815.26,7232372.567,5078005.981,391707.1055,3151302.261
0.415357131,1.252180139,6.97666027,10171552.83,1.351681164,0.270749046,1.392632806,0.91819173,65072080.81,15209031.24,7672178.741,4175546.745,305407.3786,2397597.731
0.170848888,1.374666325,3.813185815,11172570.6,1.25582227,0.312109353,1.298473112,1.037214195,68156223.99,15906905.64,8166008.243,4624161.281,345205.8968,2675574.695
0.605087722,1.181965125,7.411396577,12574205.12,1.456414665,0.259951488,1.345156751,1.358279241,58790569.96,13795734.13,7127653.641,5509294.437,420986.2763,3584912.278
0.427124179,1.255458378,5.828395286,11590240.2,1.025432004,0.293833649,1.173268242,1.125101966,62532554.67,14620780.73,7578433.176,4918283.184,374754.6216,2984835.215
0.270359067,1.531973242,5.464461045,9644439.45,1.339314801,0.345707339,1.368956443,1.223122787,51043294.37,11973172.71,5986953.176,4119377.189,303637.4615,2583448.915
0.785145733,1.332569196,5.216513017,10686820.98,1.220342182,0.434528828,1.240434917,1.363339063,50430105.22,11853538.85,6025881.51,4667568.596,354160.8698,3030254.157
0.567738161,1.362462331,4.639478191,12196112.22,1.343444969,0.308665109,1.220192338,1.270121966,61358167.22,14390414.69,7428603.595,5253107.545,402332.1165,3289337.303
0.400953535,1.153990113,5.557292898,10893219.12,1.359991025,0.296600117,1.230785439,0.892550471,71859902.67,16787195.36,8549078.767,4435009.547,330577.0239,2471519.945
0.509044949,1.44333345,4.883681583,10902306.51,1.349661597,0.357103642,1.15542494,1.221158057,57084610.13,13393912.6,6807387.65,4654200.476,353971.6636,2866789.302
0.576386902,1.479106205,4.705895655,11651049.48,1.148567979,0.298862312,1.228888788,1.433607033,52969205.75,12431561.5,6413284.738,5127680.75,393359.1499,3364196.976
0.4859295,1.34889186,3.382810752,10932002.67,1.177390402,0.242316124,1.313279723,1.283052558,55457291.7,13008415.44,6650386.032,4704735.406,353871.0096,2965081.136
0.206977064,1.404331264,5.503394755,11122897.01,1.179952888,0.353126241,1.349784485,1.573647662,47648336.59,11172095.05,5733275.699,4961840.128,376975.7263,3371070.556
0.712620903,1.243576449,4.071335484,9939434.828,1.224733333,0.249420831,1.475958999,1.235877723,51664041.84,12139185.56,6108740.619,4265233.804,312771.8819,2708836.847
0.287024311,1.503391263,3.662609673,8979363.106,1.24506859,0.480822111,1.411230104,0.462826585,92539144.49,21544946.8,10725373.76,3339896.018,233144.2061,1537197.968
0.313960771,1.326204987,4.501341222,9953504.382,1.360630709,0.196213755,1.308733742,1.546745754,43810027.51,10309905.89,5166606.065,4414857.245,332181.5756,2979464.965
0.74676574,1.163674608,4.564839169,9419418.929,1.252440686,0.188366103,1.361356253,1.004539562,57233624.72,13427889.69,6703015.008,3908639.404,284956.5361,2306808.323
0.534997631,1.300103517,5.15474507,9847714.508,1.282150311,0.292276108,1.23674693,1.375747938,47008894.08,11052422.22,5545664.738,4290805.16,322934.7616,2783402.584
0.637700604,1.495854331,6.438060944,9546113.379,1.323693627,0.306901595,1.424300826,0.579603916,81183446.56,18944995.02,9476928.106,3697161.664,263164.5826,1874768.983
0.103645667,1.075501679,4.712390965,12160399.45,1.163847428,0.230577861,1.192075034,1.183897163,66348111.37,15466763.49,8059724.412,5148234.874,392813.2636,3102142.717
0.262665025,1.380689667,6.307984008,10029823.69,1.202965933,0.383763478,1.380347437,1.081645073,57501801.51,13440816.98,6805159.224,4211692.901,310082.0002,2541887.646
0.326889478,1.058016873,4.28771274,10765861.34,1.183657567,0.335734188,1.107533439,0.950275453,68578126.65,16014521.93,8190703.704,4408986.412,332288.2561,2474914.358
0.119547406,1.363678873,4.223556184,9532832.218,1.30822083,0.334084771,1.303570543,1.465198744,44280800.22,10403356.9,5197378.279,4181417.559,312007.0098,2761983.164
0.140872497,1.186601597,3.928379636,11644625.97,1.123109066,0.453771657,1.323662062,1.138996577,65606940.99,15303522.44,7934731.357,4901827.149,368357.5877,2938971.813
0.048125587,1.415836493,5.915931082,10006181.39,1.303454181,0.396658285,1.026269083,1.197761588,54160545.37,12665895.05,6391752.258,4235982.443,322559.3575,2555931.597
0.254142164,1.257581781,5.332186832,10578716.71,1.228628384,0.279777746,1.163761215,1.154086139,58273408.25,13629128.58,6942944.831,4468404.712,337571.4458,2693489.333
0.644256352,1.28832413,7.287785301,10798939.58,1.170896437,0.180020165,1.187978376,0.796117316,72857948.18,17018919.37,8701273.065,4375390.076,326583.9485,2408783.199
0.885061831,1.127850625,4.017065743,10602802.62,1.093404919,0.390030395,1.103218913,0.883670627,67850499.23,15907592.86,8109304.114,4339057.067,326637.1777,2433350.352
0.437655824,1.517133969,4.455831324,10725718.4,1.375586688,0.326007698,1.284695436,1.650865619,44386197.42,10453480.7,5289158.388,4816627.69,367431.086,3316076.701
0.459313147,1.17037608,6.73149821,10995744.71,1.47219195,0.255304826,1.245997064,0.697085343,84230749.03,19640974.37,9988943.216,4341714.259,320668.5896,2259240.785
0.533172555,1.342585435,3.226297791,10096816.03,1.312817998,0.282241961,1.335407087,1.017714845,61988834.7,14532495.73,7315538.343,4177170.534,307540.4816,2433703.486
0.926482751,1.43702974,6.534260967,11405317.01,1.103286562,0.361550423,1.272320671,1.337684246,52960685.72,12438937.04,6400748.18,5000200.204,381107.6242,3266698.812
0.694686157,1.426239195,3.044580283,9629995.258,1.415133495,0.231124112,1.300172953,1.177169189,53174691.25,12512334.94,6220388.485,4072919.547,301198.0117,2492489.124
0.65941495,1.411732185,4.510599451,11545097.18,1.2726492,0.222325269,1.043650674,0.957688928,71222245.26,16675924.57,8563189.806,4758255.268,363224.9798,2694385.091
0.579519283,1.102534535,5.108560928,10550312.79,1.136785813,0.151745055,1.294970278,0.845887863,70549460.52,16493913.48,8411046.124,4285257.221,316490.9619,2386541.902
0.769414532,1.370651807,5.87699882,9381773.494,1.439384172,0.375877997,1.225120598,1.441866886,42849003.1,10103016.21,4997719.468,4127847.502,310184.2629,2739187.426
0.76029844,1.309833044,6.061122141,9875149.607,1.320794077,0.257668711,1.268041248,0.985041174,59841240.21,14030943.66,7037202.019,4095946.242,302901.8816,2396129.618
0.491968261,1.306686831,3.154790346,10705900.5,1.080150882,0.269501984,1.253872192,1.603285361,45370028.17,10663145.1,5449824.293,4783091.759,364903.1037,3250889.756
0.412101895,1.085333614,3.46725329,10233147.29,1.397418112,0.264712241,1.358354012,1.025007435,62907871.96,14742363.56,7418907.986,4232638.906,311416.4855,2466186.815
0.38481017,1.0930592,6.901402246,10116707.29,1.127949582,0.245430901,1.197913411,1.302708504,49581901.29,11616602,5895769.481,4382281.639,331008.5316,2797102.292
0.360312809,1.470436697,5.309899182,9812869.757,1.107831859,0.18596349,1.259783213,1.122618637,54837355.92,12831840.97,6492577.989,4137204.472,307357.5996,2505763.555
0.528314987,1.409328344,5.958194247,11127775.8,1.290021526,0.225380871,1.329036817,1.706273636,44134209.52,10387010.41,5297380.107,5046629.112,386004.7831,3539062.431
0.29056239,1.31584499,6.397161427,11238110.72,1.053269933,0.130185368,1.169654734,0.717001325,83598453.66,19443444.83,10057606.54,4462246.419,332579.5628,2336233.682
0.371557757,1.321137751,5.429994249,11354537.79,1.235174221,0.320746648,1.207796798,1.261487495,57606125.86,13490654.81,6928711.952,4881697.031,371717.9036,3054358.485
0.730849673,1.31816983,6.322640085,10219063.81,1.295953222,0.36366098,1.122866801,0.624710406,81732899.72,19086553.18,9642700.448,3996133.33,295497.1617,2028417.512
0.548958725,1.594851644,5.537450719,11083033.49,1.294600954,0.313414758,1.442114932,0.992656805,66770297.34,15623163.88,7981760.733,4608158.118,340064.3012,2711294.593
0.461464674,1.137344828,3.547759077,11878549.55,1.389937033,0.23850378,1.223146793,1.115076576,67402232.5,15789248.72,8114611.438,4989138.365,378303.2064,2963806.274
0.806507586,1.486635406,5.6293208,10816521.16,1.302773295,0.285190233,1.289187345,1.469800727,48176886.83,11337096.97,5754481.479,4784084.541,363176.7099,3192865.182
0.515034314,1.357213024,6.66045999,11312267.43,1.192359228,0.13566412,1.092239378,1.06797031,63607205.13,14877423.83,7648803.596,4755109.042,362876.7849,2817896.335
